Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bolivia,BOL,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,,,,,,,,,,,,,,,,,,,,3243400000,5375700000,6183900000,5925400000,3508700000,7413700000,16579730000,28909560000,9826800000,6100000000,4152600000,5842900000,11767600000,23062200000,35188000000,81758100000,78902600000,1.16128E+11,2.17399E+11,1.72862E+11,1.5885E+11,94051280000,64476950000,39374690000,70478750000,1.13682E+11,1.7092E+11,2.79477E+11,6.45439E+11,5.69862E+11,7.07867E+11,9.08132E+11,8.24916E+11,8.31639E+11,7.39678E+11,6.44171E+11,4.19978E+11,5.61081E+11,6.42503E+11,7.69196E+11,1.03873E+12,1.3736E+12,,
Barbados,BRB,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400000,5700000,3110000,6160000,23170000,31830000,10190000,48100000,10300000,,,,,,,,,33600000,117180000,16000000,6400000,8700000,,,,,13790000,6260000,,
Brunei Darussalam,BRN,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000000,37910000,28510000,56400000,66250000,36710000,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,,,,,,,,,,,,,,,,5208850000,6368860000,6667000000,10159000000,18077390000,27156300000,23686730000,16468200000,28169400000,25308240000,38991270000,57184660000,93254500000,68777140000,89380290000,68125140000,73335290000,75705320000,1.33359E+11,1.56142E+11,1.83406E+11,2.64982E+11,3.37958E+11,3.56701E+11,3.92673E+11,6.28487E+11,4.45951E+11,4.48462E+11,5.06548E+11,7.06494E+11,9.3211E+11,1.23714E+12,1.745E+12,1.50283E+12,1.33285E+12,1.40484E+12,1.47388E+12,1.34797E+12,1.32358E+12,1.34379E+12,1.09607E+12,1.15337E+12,1.28015E+12,1.37365E+12,1.43257E+12,1.01051E+12,,
Central Europe and the Baltics,CEB,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2231100000,7340700000,7009000000,15174890000,16632600000,16593780000,16504570000,29137080000,16256940000,18499800000,28202350000,54909310000,86248090000,1.19504E+11,1.92169E+11,1.18663E+11,1.15277E+11,1.21881E+11,1.14468E+11,92114060000,99088760000,78472250000,62616090000,55796557459,81569124000,67695136406,61755780000,1.02578E+11,,
Switzerland,CHE,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,,,,,,,,,,,,,,,,31659000000,43140000000,36001110000,42907390000,69497400000,79167200000,74911900000,,1.26769E+11,1.30547E+11,2.14596E+11,1.30547E+11,4.2677E+11,3.88574E+11,4.1378E+11,4.00523E+11,73511430000,72399770000,1.87135E+11,2.55674E+11,3.19117E+11,4.15206E+11,5.40289E+11,6.88088E+11,4.65251E+11,6.34098E+11,5.86595E+11,4.90762E+11,4.48672E+11,43853810000,56648390000,81267490000,1.25926E+12,1.41277E+12,7.70619E+11,8.75368E+11,8.27907E+11,5.91987E+11,6.99585E+11,7.34058E+11,9.55219E+11,8.37238E+11,9.48337E+11,9.38346E+11,9.65704E+11,1.3077E+12,,
Channel Islands,CHI,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73500000,34460000,59800000,46990000,8470000,12520000,2750000,780000,100000,,,,,,,,,,,,,,,
Chile,CHL,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,,,,,,,,,,,,,,,,,,,,,753000000,449000000,221000000,107000000,100000000,144000000,755000000,1266000000,1525000000,1879000000,1577000000,1768840000,1921160000,2641310000,5298300000,11086000000,1078430000,7427600000,4299050000,6521940000,5763660000,4071120000,2661800000,7562670000,13081570000,20450590000,27812170000,45162640000,28872350000,37034010000,57925320000,51266630000,46491890000,41226990000,27130870000,19674570000,23973143324,38092071235,43564837993,36732170000,39727610000,,
China,CHN,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39965300000,68172600000,77528800000,3.07739E+11,3.71055E+11,2.8439E+11,,7.52583E+11,4.6278E+11,3.38208E+11,3.88002E+11,5.11496E+11,3.92367E+11,1.15899E+12,6.30545E+12,3.90506E+12,7.83078E+12,8.25774E+12,6.67398E+12,5.0272E+12,7.69598E+12,1.19593E+13,3.9326E+13,1.82951E+13,1.72233E+13,1.30706E+13,1.82477E+13,3.15807E+13,,
Cote d'Ivoire,CIV,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19020000,75420000,32990000,8600000,17490000,24310000,50170000,34960000,107040000,164360000,291860000,240600000,227010000,116580000,174200000,367370000,398980000,521850000,,,,150790000,169100000,,
Cameroon,CMR,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",COD,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",COG,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,,,,,,,,,,,,,,,,,,,,,357000000,490000000,124000000,62000000,54000000,43000000,52000000,105000000,95000000,101000000,108000000,358000000,828000000,908000000,2633000000,1202000000,2557000000,2389000000,3263000000,1382000000,1179000000,784000000,1031000000,805800000,2079600000,9548720000,15617180000,17247590000,18034040000,19849620000,22697170000,25946340000,32202940000,20409200000,17216000000,11586530000,14167836236,13865382953,13662415355,13904860000,10000100000,,
Comoros,COM,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11000000,21700000,15740000,13510000,17250000,32360000,208320000,,,,114900000,37580000,21900000,61830000,71690000,54460000,31340000,41350000,36830000,33600000,66100000,121660000,51860000,35960000,55370000,46230000,36600000,30280000,,
Caribbean small states,CSS,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1580000,5800000,1400000,1900000,1000000,2540000,2540000,,,500000,,,9800000,3540000,1300000,,
Cyprus,CYP,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28100000,88200000,296700000,458500000,402500000,700300000,6409000000,9541300000,3148800000,668000000,310300000,264700000,472800000,3146500000,4464700000,1794400000,1761280000,742500000,449200000,294610000,41220000,56610000,130900000,74231207.29,69126963.59,55762847.66,56020000,38970000,,
Czechia,CZE,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237500000,1527300000,2744870000,6329680000,5712390000,4725690000,3933790000,6650030000,3448100000,5922260000,8768390000,18009920000,34340240000,28778550000,37788550000,32280700000,26637000000,22077000000,20608000000,17535000000,12269000000,10777000000,,,,,,4228900000,,
