Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cameroon,CMR,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",COD,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",COG,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,1.068838734,1.346584203,0.318209489,0.160083356,0.141164953,0.123228874,0.148815956,0.288673229,0.242269375,0.255437014,0.225733206,0.721221733,1.417943133,1.365945507,3.222549372,1.299516069,2.631920539,2.239901152,3.313149199,1.601781243,1.180474709,0.798365459,1.052622844,0.851392321,1.776033034,6.558162958,9.652570858,8.363297482,7.436590246,8.538621824,7.922263921,7.745959158,8.687269874,5.34141237,4.515780339,3.947813018,5.011258917,4.445929997,4.088117355,4.304487748,3.70167114,,
Comoros,COM,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.114788177,0.20692706,0.135940509,0.115683413,0.136746284,0.236476138,1.46139568,,,,0.665247761,0.201927989,0.109277934,0.272192513,0.26665724,0.176808165,0.101932906,0.109802233,0.086126634,0.07113873,0.129735878,0.233887734,0.091882061,0.061107598,0.091496396,0.074062605,0.056816708,0.048529055,,
Caribbean small states,CSS,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037616466,0.129862044,0.030528032,0.044374747,0.024056729,0.060677392,0.059193599,,,0.010619844,,,0.177209472,0.059576937,0.023020156,,
Cyprus,CYP,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.426384811,1.187766181,2.986972918,4.579541899,4.215622569,6.833116661,61.05025699,95.54825346,30.28304641,5.849270319,2.1330382,1.528242243,2.564907782,15.67545205,18.62715989,6.444314592,6.788411658,2.885498108,1.629606782,1.179511283,0.17247263,0.244472395,0.659695353,0.354275593,0.302251475,0.218476621,0.215901416,0.154476114,,
Czechia,CZE,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.581157072,3.191835932,4.563589299,9.392918403,9.18683718,7.073599479,6.035907651,10.75566425,5.085090731,7.205046382,8.76046462,15.0315111,25.03964619,18.4166106,19.86948932,13.63110338,12.84117449,10.55962416,8.977066833,8.395667662,5.795859066,5.147621328,,,,,,1.719242845,,
Germany,DEU,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,2.139070296,2.032682921,2.193511848,2.539468232,1.681662349,1.488865215,1.711669996,1.905194293,4.007640881,3.710818814,11.68659971,14.51176387,32.69257601,24.64407736,24.87929961,30.61977798,23.41306265,20.176847,25.56706646,27.37791096,22.43547193,5.998998641,44.67568245,65.59794737,59.61394813,93.80152837,66.86482708,41.94196698,40.66453854,41.9740809,45.24516501,65.14294679,95.01568308,111.8649872,52.40860458,43.96479036,41.9704483,35.43789841,35.15480705,32.63143317,43.02535246,32.39652103,42.22873909,40.66355155,34.72018361,46.66193934,,
Djibouti,DJI,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
